rm -f vcs/dump.fsdb
python3 /home/maxma2/Documents/ECE511/mp3/sim/../bin/get_options.py clock
2000
cp ../inputs_* vcs/
cd vcs && ./top_tb -l simulation.log -exitstatus -suppress=ASLR_DETECTED_INFO \
	+TIMEOUT_ECE511=40000 \
	+CLOCK_PERIOD_PS_ECE511=2000
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Mar 23 15:56 2025
*Verdi* Loading libsscore_vcs202409.so
FSDB Dumper for VCS, Release Verdi_W-2024.09, Linux x86_64/64bit, 08/17/2024
(C) 1996 - 2024 by Synopsys, Inc.
*Verdi* : Create FSDB file 'dump.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
Time: 5263000, Core 3: State: CPU_WRITE, addr: 57, wdata: 149
Time: 5281000, Core 2: State: CPU_WRITE, addr: 20, wdata: 143
Time: 5295000, Core 0: State: CPU_READ, addr: 3, wdata: 0
Time: 5299000, Core 1: State: CPU_READ, addr: 41, wdata: 0
Time: 5311000, Core 3: State: CPU_READ, addr: 3, wdata: 0
Time: 5323000, Core 1: State: CPU_WRITE, addr: 27, wdata: 248
Time: 5327000, Core 1: State: CPU_READ, addr: 10, wdata: 0
Time: 5331000, Core 2: State: CPU_WRITE, addr: 3, wdata: 242
Time: 5341000, Core 0: State: CPU_READ, addr: 17, wdata: 0
Time: 5361000, Core 3: State: CPU_WRITE, addr: 60, wdata: 202
Time: 5365000, Core 0: State: CPU_READ, addr: 60, wdata: 0
Time: 5373000, Core 1: State: CPU_READ, addr: 51, wdata: 0
Time: 5379000, Core 2: State: CPU_WRITE, addr: 17, wdata: 132
Time: 5401000, Core 2: State: CPU_READ, addr: 5, wdata: 0
Time: 5409000, Core 3: State: CPU_READ, addr: 27, wdata: 0
Time: 5413000, Core 0: State: CPU_READ, addr: 36, wdata: 0
Time: 5419000, Core 1: State: CPU_READ, addr: 23, wdata: 0
Time: 5431000, Core 3: State: CPU_READ, addr: 3, wdata: 0
Time: 5437000, Core 0: State: CPU_WRITE, addr: 42, wdata: 203
Time: 5451000, Core 2: State: CPU_READ, addr: 61, wdata: 0
Time: 5469000, Core 1: State: CPU_WRITE, addr: 3, wdata: 124
Time: 5481000, Core 3: State: CPU_READ, addr: 48, wdata: 0
Time: 5485000, Core 0: State: CPU_WRITE, addr: 34, wdata: 59
Time: 5497000, Core 2: State: CPU_WRITE, addr: 58, wdata: 203
Time: 5503000, Core 3: State: CPU_READ, addr: 15, wdata: 0
Time: 5517000, Core 1: State: CPU_WRITE, addr: 7, wdata: 36
Time: 5527000, Core 3: State: CPU_WRITE, addr: 36, wdata: 236
Time: 5533000, Core 0: State: CPU_READ, addr: 51, wdata: 0
Time: 5545000, Core 2: State: CPU_READ, addr: 63, wdata: 0
Time: 5557000, Core 0: State: CPU_WRITE, addr: 14, wdata: 238
Time: 5565000, Core 1: State: CPU_WRITE, addr: 28, wdata: 47
Time: 5569000, Core 2: State: CPU_WRITE, addr: 35, wdata: 222
Time: 5577000, Core 3: State: CPU_READ, addr: 17, wdata: 0
Time: 5587000, Core 1: State: CPU_READ, addr: 54, wdata: 0
Time: 5607000, Core 0: State: CPU_READ, addr: 46, wdata: 0
Time: 5617000, Core 2: State: CPU_WRITE, addr: 16, wdata: 20
Time: 5623000, Core 3: State: CPU_WRITE, addr: 14, wdata: 225
Time: 5635000, Core 1: State: CPU_WRITE, addr: 30, wdata: 223
Time: 5647000, Core 3: State: CPU_READ, addr: 36, wdata: 0
Time: 5651000, Core 3: State: CPU_READ, addr: 30, wdata: 0
Time: 5653000, Core 0: State: CPU_WRITE, addr: 31, wdata: 243
Time: 5665000, Core 2: State: CPU_READ, addr: 54, wdata: 0
Time: 5683000, Core 1: State: CPU_WRITE, addr: 60, wdata: 33
Time: 5695000, Core 3: State: CPU_WRITE, addr: 21, wdata: 16
Time: 5703000, Core 0: State: CPU_WRITE, addr: 14, wdata: 190
Time: 5713000, Core 2: State: CPU_WRITE, addr: 11, wdata: 93
Time: 5731000, Core 1: State: CPU_READ, addr: 34, wdata: 0
Time: 5745000, Core 3: State: CPU_WRITE, addr: 36, wdata: 35
Time: 5749000, Core 3: State: CPU_READ, addr: 37, wdata: 0
Time: 5753000, Core 0: State: CPU_WRITE, addr: 50, wdata: 86
Time: 5755000, Core 1: State: CPU_READ, addr: 19, wdata: 0
Time: 5763000, Core 2: State: CPU_READ, addr: 62, wdata: 0
Time: 5791000, Core 3: State: CPU_READ, addr: 47, wdata: 0
Time: 5797000, Core 0: State: CPU_WRITE, addr: 20, wdata: 168
Time: 5803000, Core 1: State: CPU_WRITE, addr: 22, wdata: 254
Time: 5811000, Core 2: State: CPU_READ, addr: 27, wdata: 0
Time: 5825000, Core 0: State: CPU_WRITE, addr: 16, wdata: 198
Time: 5843000, Core 3: State: CPU_READ, addr: 34, wdata: 0
Time: 5851000, Core 1: State: CPU_WRITE, addr: 0, wdata: 90
Time: 5861000, Core 2: State: CPU_READ, addr: 20, wdata: 0
Time: 5865000, Core 3: State: CPU_READ, addr: 38, wdata: 0
Time: 5869000, Core 0: State: CPU_WRITE, addr: 38, wdata: 104
Time: 5881000, Core 2: State: CPU_WRITE, addr: 15, wdata: 230
Time: 5899000, Core 1: State: CPU_WRITE, addr: 47, wdata: 179
Time: 5911000, Core 3: State: CPU_READ, addr: 60, wdata: 0
Time: 5917000, Core 0: State: CPU_WRITE, addr: 41, wdata: 121
